,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,JeffBon90065070,Jeff B,1160321694382403584,1285726161373462529,/JeffBon90065070/status/1285726161373462529,2020-07-21 23:59:39,1595375979,"Well, if they’re coming from Beirut.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Well, if they’re coming from <strong>Beirut</strong>.</p>",[],[],False,[],,0,0,0,False,True,1285669153861513221,"[{'screen_name': 'ellie_bufkin', 'user_id': '3535656862'}, {'screen_name': 'KatiePavlich', 'user_id': '48459553'}]"
1,Beirut_tarot,بَـيروت أبنة عـُطـآرد | تاروت🧞‍♀️,3109980233,1285724864226238466,/Beirut_tarot/status/1285724864226238466,2020-07-21 23:54:29,1595375669,اهلااااااااا بمريخ الحمل #البيت_الرابع 😂😂😂😂😂 منزمان عن الدراما,"<p class=""TweetTextSize js-tweet-text tweet-text tweet-text-rtl"" data-aria-label-part=""0"" lang=""ar"">اهلااااااااا بمريخ الحمل <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""rtl"" href=""/hashtag/%D8%A7%D9%84%D8%A8%D9%8A%D8%AA_%D8%A7%D9%84%D8%B1%D8%A7%D8%A8%D8%B9?src=hash""><s>#</s><b>البيت_الرابع</b></a> <img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/><img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/><img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/><img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/><img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/> منزمان عن الدراما</p>",[],['البيت_الرابع'],False,[],,0,0,0,False,False,,[]
2,messymandella1,***messymandella***,31612392,1285723890321367040,/messymandella1/status/1285723890321367040,2020-07-21 23:50:37,1595375437,"Her comment section looks like Beirut. You could just not. No, but then again that would be the easy thing to do.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Her comment section looks like <strong>Beirut</strong>. You could just not. No, but then again that would be the easy thing to do.</p>",[],[],False,[],,0,0,0,False,False,,[]
3,FrancGoodman,Franc GoodMan. Relaxing Videos,1216829716767920129,1285723737191571456,/FrancGoodman/status/1285723737191571456,2020-07-21 23:50:01,1595375401,"#Russian #Russia #Norway #Sweden #NAVTEX #καστελοριζο #Italy #Ukraine #Lebanon #beirut #Europe #Spain #malta #nature #wildlifephotography #wildlife #mountains #hiking #لبنان #لبنان_يتنفض 
Altai mountains - Siberia - Russia🏔pic.twitter.com/c3lmjjgOxZ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Russian?src=hash""><s>#</s><b>Russian</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Russia?src=hash""><s>#</s><b>Russia</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Norway?src=hash""><s>#</s><b>Norway</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Sweden?src=hash""><s>#</s><b>Sweden</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NAVTEX?src=hash""><s>#</s><b>NAVTEX</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%CE%BA%CE%B1%CF%83%CF%84%CE%B5%CE%BB%CE%BF%CF%81%CE%B9%CE%B6%CE%BF?src=hash""><s>#</s><b>καστελοριζο</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Italy?src=hash""><s>#</s><b>Italy</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Ukraine?src=hash""><s>#</s><b>Ukraine</b></a> <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Lebanon?src=hash""><s>#</s><b>Lebanon</b></a><a dir=""ltr"" href=""/hashtag/Lebanon?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/Lebanon_August2020/Lebanon_August2020.png""/></a></span> <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/beirut?src=hash""><s>#</s><b><strong>beirut</strong></b></a><a dir=""ltr"" href=""/hashtag/beirut?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/Lebanon_August2020/Lebanon_August2020.png""/></a></span> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Europe?src=hash""><s>#</s><b>Europe</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Spain?src=hash""><s>#</s><b>Spain</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/malta?src=hash""><s>#</s><b>malta</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/nature?src=hash""><s>#</s><b>nature</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/wildlifephotography?src=hash""><s>#</s><b>wildlifephotography</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/wildlife?src=hash""><s>#</s><b>wildlife</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mountains?src=hash""><s>#</s><b>mountains</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hiking?src=hash""><s>#</s><b>hiking</b></a> <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""rtl"" href=""/hashtag/%D9%84%D8%A8%D9%86%D8%A7%D9%86?src=hash""><s>#</s><b>لبنان</b></a><a dir=""rtl"" href=""/hashtag/%D9%84%D8%A8%D9%86%D8%A7%D9%86?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/Lebanon_August2020/Lebanon_August2020.png""/></a></span> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""rtl"" href=""/hashtag/%D9%84%D8%A8%D9%86%D8%A7%D9%86_%D9%8A%D8%AA%D9%86%D9%81%D8%B6?src=hash""><s>#</s><b>لبنان_يتنفض</b></a> 
Altai mountains - Siberia - Russia<img alt=""🏔"" aria-label=""Emoji: Snow capped mountain"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f3d4.png"" title=""Snow capped mountain""/><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/c3lmjjgOxZ"">pic.twitter.com/c3lmjjgOxZ</a></p>",[],"['Russian', 'Russia', 'Norway', 'Sweden', 'NAVTEX', 'καστελοριζο', 'Italy', 'Ukraine', 'Lebanon', 'beirut', 'Europe', 'Spain', 'malta', 'nature', 'wildlifephotography', 'wildlife', 'mountains', 'hiking', 'لبنان', 'لبنان_يتنفض']",True,['https://pbs.twimg.com/media/EdfO6XmXkAIwhRO.jpg'],,2,0,1,True,False,,[]
4,gabovazquezg,Gabriel Vazquez,780610559775416321,1285723602399178755,/gabovazquezg/status/1285723602399178755,2020-07-21 23:49:29,1595375369,"la isla bonita, isla de encanta, Beirut-Long Island Sound -
Adam Green-Tropical Island
Weezer-island in the sun
Kenny Rodgers- Islands In The Stream
Idlewild-Take Me Back To The Islands
David Gilmour-On An Island","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">la isla bonita, isla de encanta, <strong>Beirut</strong>-Long Island Sound -
Adam Green-Tropical Island
Weezer-island in the sun
Kenny Rodgers- Islands In The Stream
Idlewild-Take Me Back To The Islands
David Gilmour-On An Island</p>",[],[],False,[],,1,0,0,False,True,1285719556091240448,"[{'screen_name': 'fratta', 'user_id': '17942384'}, {'screen_name': 'lariveradefrida', 'user_id': '152288915'}]"
5,ChinesePants,Jeff Tjiong,391671818,1285723455128776705,/ChinesePants/status/1285723455128776705,2020-07-21 23:48:53,1595375333,"Made me recall my eye-opening trip to Beirut in 2011, when the old city centre and Corniche started being redeveloped - had thought that its rough post-war times had passed already ""The lights go out on Lebanon’s economy as financial collapse accelerates ""https://www.washingtonpost.com/world/middle_east/the-lights-go-out-on-lebanons-economy-as-financial-collapse-accelerates/2020/07/19/3acfc33e-bb97-11ea-97c1-6cf116ffe26c_story.html …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Made me recall my eye-opening trip to <strong>Beirut</strong> in 2011, when the old city centre and Corniche started being redeveloped - had thought that its rough post-war times had passed already ""The lights go out on Lebanon’s economy as financial collapse accelerates ""<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.washingtonpost.com/world/middle_east/the-lights-go-out-on-lebanons-economy-as-financial-collapse-accelerates/2020/07/19/3acfc33e-bb97-11ea-97c1-6cf116ffe26c_story.html"" dir=""ltr"" href=""https://t.co/yA1V1FvhrP"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.washingtonpost.com/world/middle_east/the-lights-go-out-on-lebanons-economy-as-financial-collapse-accelerates/2020/07/19/3acfc33e-bb97-11ea-97c1-6cf116ffe26c_story.html""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">washingtonpost.com/world/middle_e</span><span class=""invisible"">ast/the-lights-go-out-on-lebanons-economy-as-financial-collapse-accelerates/2020/07/19/3acfc33e-bb97-11ea-97c1-6cf116ffe26c_story.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.washingtonpost.com/world/middle_east/the-lights-go-out-on-lebanons-economy-as-financial-collapse-accelerates/2020/07/19/3acfc33e-bb97-11ea-97c1-6cf116ffe26c_story.html'],[],False,[],,1,0,0,False,False,,[]
6,wael_atallah,Waël Atallah,2724624242,1285723216854634499,/wael_atallah/status/1285723216854634499,2020-07-21 23:47:57,1595375277,"Khalas Khaye ana ahbal... 

Having few green pastures in Beirut will ruin the city and you have to take cut every single tree and destroy every small green space because you cannot expand. 

Have a nice day.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Khalas Khaye ana ahbal... 

Having few green pastures in <strong>Beirut</strong> will ruin the city and you have to take cut every single tree and destroy every small green space because you cannot expand. 

Have a nice day.</p>",[],[],False,[],,0,0,0,False,True,1285678707215159297,"[{'screen_name': 'Jf2118898362', 'user_id': '1183573774240768000'}]"
7,wutyouknowiknow,Hass ♌,3105083192,1285721966255706112,/wutyouknowiknow/status/1285721966255706112,2020-07-21 23:42:58,1595374978,Ta3e saida aw ana benzal beirut😤,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Ta3e saida aw ana benzal <strong>beirut</strong><img alt=""😤"" aria-label=""Emoji: Face with look of triumph"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f624.png"" title=""Face with look of triumph""/></p>",[],[],False,[],,0,0,1,True,True,1285710687025729538,"[{'screen_name': 'notstephg', 'user_id': '1229442834157232129'}]"
8,HfLaya,LayalHF🇱🇧,1181913957335994368,1285721380177227776,/HfLaya/status/1285721380177227776,2020-07-21 23:40:39,1595374839,When I walk in the empty beirut streets after the crisis. feels like not alive anymore. pic.twitter.com/woun77B54D,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">When I walk in the empty <strong>beirut</strong> streets after the crisis. feels like not alive anymore. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/woun77B54D"">pic.twitter.com/woun77B54D</a></p>",[],[],True,['https://pbs.twimg.com/media/EdfMx_cWoAM2xHk.jpg'],,2,0,0,False,False,,[]
9,el_antropologo_,Karim,1281438795620143104,1285720234805080070,/el_antropologo_/status/1285720234805080070,2020-07-21 23:36:06,1595374566,"Hahahaha, ¿ahora me estas diciendo retrógrado? Para tu información estudié en Líbano, en Beirut, todas las universidades en Líbano están dentro del 0.5% de “las mejores universidades en el mundo” precisamente por investigación e innovación...","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Hahahaha, ¿ahora me estas diciendo retrógrado? Para tu información estudié en Líbano, en <strong>Beirut</strong>, todas las universidades en Líbano están dentro del 0.5% de “las mejores universidades en el mundo” precisamente por investigación e innovación...</p>",[],[],False,[],,0,0,1,True,True,1285375829594210304,"[{'screen_name': 'Gamer2Darcito', 'user_id': '846485273315852288'}, {'screen_name': 'Zahyrux', 'user_id': '200403996'}, {'screen_name': 'AidaAvellaE', 'user_id': '2202387091'}]"
