,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,ERN_Malleyscrub,Archaic Brief Cambrian Detail,22607317,1163224714891816960,/ERN_Malleyscrub/status/1163224714891816960,2019-08-18 23:02:38,1566169358,Ku-Ring-Gai #Bushfire Long Nose Point Kuringai 19th August 2019 #NSWRFS - Smoke affects Avalon and Newport Nthn Beaches #Sydneyhttps://twitter.com/NSWRFS/status/1163207922379137024 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Ku-Ring-Gai <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Bushfire?src=hash""><s>#</s><b><strong>Bushfire</strong></b></a> Long Nose Point Kuringai 19th August 2019 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NSWRFS?src=hash""><s>#</s><b>NSWRFS</b></a> - Smoke affects Avalon and Newport Nthn Beaches <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Sydney?src=hash""><s>#</s><b>Sydney</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/NSWRFS/status/1163207922379137024"" dir=""ltr"" href=""https://t.co/Xu2dRrZ2su"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/NSWRFS/status/1163207922379137024""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/NSWRFS/status/</span><span class=""invisible"">1163207922379137024</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/NSWRFS/status/1163207922379137024'],"['Bushfire', 'NSWRFS', 'Sydneyhttps']",False,[],,1,1,0,False,False,,[]
1,MoveTheWorldAU,World Animal Protection Australia,49551339,1163220183206395905,/MoveTheWorldAU/status/1163220183206395905,2019-08-18 22:44:37,1566168277,#Bushfire in winter! Do you have a plan to protect your #pet in a disaster? Visit http://protectyourpet.org.au  to download a free pack today! #protectanimals 🐶🐱https://twitter.com/NSWRFS/status/1163207922379137024 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Bushfire?src=hash""><s>#</s><b><strong>Bushfire</strong></b></a> in winter! Do you have a plan to protect your <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/pet?src=hash""><s>#</s><b>pet</b></a> in a disaster? Visit <a class=""twitter-timeline-link"" data-expanded-url=""http://protectyourpet.org.au"" dir=""ltr"" href=""https://t.co/nwSs7glbkU"" rel=""nofollow noopener"" target=""_blank"" title=""http://protectyourpet.org.au""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">protectyourpet.org.au</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> to download a free pack today! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/protectanimals?src=hash""><s>#</s><b>protectanimals</b></a> <img alt=""🐶"" aria-label=""Emoji: Dog face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f436.png"" title=""Dog face""/><img alt=""🐱"" aria-label=""Emoji: Cat face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f431.png"" title=""Cat face""/><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/NSWRFS/status/1163207922379137024"" dir=""ltr"" href=""https://t.co/Tq4FcwWIRH"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/NSWRFS/status/1163207922379137024""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/NSWRFS/status/</span><span class=""invisible"">1163207922379137024</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>","['http://protectyourpet.org.au', 'https://twitter.com/NSWRFS/status/1163207922379137024']","['Bushfire', 'pet', 'protectanimals']",False,[],,3,0,1,True,False,,[]
2,MalurusSally,Sally Forsstrom,2985110557,1163213318317731842,/MalurusSally/status/1163213318317731842,2019-08-18 22:17:21,1566166641,Uarbry's Jill Goodman tells of rebuilding life after #SirIvan bushfire 🔥 on Hear Them Raw podcast | The Land #ClimateChangehttps://www.theland.com.au/story/6326065/their-hoses-were-melting-they-were-exhausted/ …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Uarbry's Jill Goodman tells of rebuilding life after <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SirIvan?src=hash""><s>#</s><b>SirIvan</b></a> <strong>bushfire</strong> <img alt=""🔥"" aria-label=""Emoji: Fire"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f525.png"" title=""Fire""/> on Hear Them Raw podcast | The Land <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ClimateChange?src=hash""><s>#</s><b>ClimateChange</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.theland.com.au/story/6326065/their-hoses-were-melting-they-were-exhausted/"" dir=""ltr"" href=""https://t.co/TXg8DxNWFm"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.theland.com.au/story/6326065/their-hoses-were-melting-they-were-exhausted/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">theland.com.au/story/6326065/</span><span class=""invisible"">their-hoses-were-melting-they-were-exhausted/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.theland.com.au/story/6326065/their-hoses-were-melting-they-were-exhausted/'],"['SirIvan', 'ClimateChangehttps']",False,[],,4,0,0,False,False,,[]
3,nadine_morton,Nadine Morton,284294464,1163210337778188288,/nadine_morton/status/1163210337778188288,2019-08-18 22:05:30,1566165930,"Bushfire seasons are now longer, more intense, and are burning in areas where they shouldn't be burning, former @FRNSW commissioner Greg Mullins says.https://www.parkeschampionpost.com.au/story/6333238/early-bushfire-season-now-the-new-normal/?cs=9402 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Bushfire</strong> seasons are now longer, more intense, and are burning in areas where they shouldn't be burning, former <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""42744260"" dir=""ltr"" href=""/FRNSW""><s>@</s><b>FRNSW</b></a> commissioner Greg Mullins says.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.parkeschampionpost.com.au/story/6333238/early-bushfire-season-now-the-new-normal/?cs=9402"" dir=""ltr"" href=""https://t.co/A3OzLFJq3n"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.parkeschampionpost.com.au/story/6333238/early-bushfire-season-now-the-new-normal/?cs=9402""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">parkeschampionpost.com.au/story/6333238/</span><span class=""invisible"">early-bushfire-season-now-the-new-normal/?cs=9402</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.parkeschampionpost.com.au/story/6333238/early-bushfire-season-now-the-new-normal/?cs=9402'],[],False,[],,1,0,0,False,False,,[]
4,CPP_Au,Cities Power Partnership,908516163637846016,1163209958873112576,/CPP_Au/status/1163209958873112576,2019-08-18 22:04:00,1566165840,".@LismoreCouncil Council declares a #climateemergency. Floods, bushfires, droughts, heatwaves and sea-level rise are just some of the climate impacts which will substantially affect the area if action isn't taken.

https://bit.ly/2H6Q6ZS 

Via @Echonetdaily","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">.<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1666583882"" dir=""ltr"" href=""/LismoreCouncil""><s>@</s><b>LismoreCouncil</b></a> Council declares a <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/climateemergency?src=hash""><s>#</s><b>climateemergency</b></a>. Floods, <strong>bushfires</strong>, droughts, heatwaves and sea-level rise are just some of the climate impacts which will substantially affect the area if action isn't taken.

<a class=""twitter-timeline-link"" data-expanded-url=""https://bit.ly/2H6Q6ZS"" dir=""ltr"" href=""https://t.co/PktQymGYsE"" rel=""nofollow noopener"" target=""_blank"" title=""https://bit.ly/2H6Q6ZS""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">bit.ly/2H6Q6ZS</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>

Via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""486165810"" dir=""ltr"" href=""/Echonetdaily""><s>@</s><b>Echonetdaily</b></a></p>",['https://bit.ly/2H6Q6ZS'],['climateemergency'],False,[],,2,1,3,True,False,,[]
5,p_hannam,Peter Hannam,495650403,1163209497768161281,/p_hannam/status/1163209497768161281,2019-08-18 22:02:10,1566165730,Bushfires on Sydney's north (and it's still winter) https://twitter.com/NSWRFS/status/1163207922379137024 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en""><strong>Bushfires</strong> on Sydney's north (and it's still winter) <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/NSWRFS/status/1163207922379137024"" dir=""ltr"" href=""https://t.co/KycrZxKFnT"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/NSWRFS/status/1163207922379137024""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/NSWRFS/status/</span><span class=""invisible"">1163207922379137024</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/NSWRFS/status/1163207922379137024'],[],False,[],,34,17,3,True,False,,[]
6,JollyGoodBeer,JOLLY 𝐆𝐎𝐎𝐃 BEER,1966497540,1163205962536280065,/JollyGoodBeer/status/1163205962536280065,2019-08-18 21:48:07,1566164887,"Hah! Yeah, even in new outer Sydney suburbs there was a couple of fixture gas BBQs in the local park. Gas hotplate jobbies.

Where I grew up in country WA local rangers ensured the BBQs down the beach had a well stocked logpile.

It's all gone gas now mind. (Bushfire hazard.)","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hah! Yeah, even in new outer Sydney suburbs there was a couple of fixture gas BBQs in the local park. Gas hotplate jobbies.

Where I grew up in country WA local rangers ensured the BBQs down the beach had a well stocked logpile.

It's all gone gas now mind. (<strong>Bushfire</strong> hazard.)</p>",[],[],False,[],,1,0,1,True,True,1163153815669006336,"[{'screen_name': 'ChubbySealbeer', 'user_id': '1100138905775587329'}]"
7,MarieCo92176893,Marie Coleman,2479088160,1163197072960446464,/MarieCo92176893/status/1163197072960446464,2019-08-18 21:12:48,1566162768,Early bushfire season now the new normal https://www.canberratimes.com.au/story/6333238/early-bushfire-season-now-the-new-normal/?cs=14246 … via @canberratimes,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Early <strong>bushfire</strong> season now the new normal <a class=""twitter-timeline-link"" data-expanded-url=""https://www.canberratimes.com.au/story/6333238/early-bushfire-season-now-the-new-normal/?cs=14246"" dir=""ltr"" href=""https://t.co/wXG3ZSwoM0"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.canberratimes.com.au/story/6333238/early-bushfire-season-now-the-new-normal/?cs=14246""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">canberratimes.com.au/story/6333238/</span><span class=""invisible"">early-bushfire-season-now-the-new-normal/?cs=14246</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17125730"" dir=""ltr"" href=""/canberratimes""><s>@</s><b>canberratimes</b></a></p>",['https://www.canberratimes.com.au/story/6333238/early-bushfire-season-now-the-new-normal/?cs=14246'],[],False,[],,0,0,0,False,False,,[]
8,no_filter_Yamba,no_filter_Yamba,17479606,1163196600438554624,/no_filter_Yamba/status/1163196600438554624,2019-08-18 21:10:55,1566162655,"By midday 18 August 2019 NSW Rural Fire Service reported there were 58 bush or grass fires across the state, with 31 still to be contained. NSW North Coast Bushfire Danger Period has officially begun this week https://northcoastvoices.blogspot.com/2019/08/bushfire-danger-period-has-begun-on-nsw.html … @Lynette_Eggins @Captainturtle @tincanoe","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">By midday 18 August 2019 NSW Rural Fire Service reported there were 58 bush or grass fires across the state, with 31 still to be contained. NSW North Coast <strong>Bushfire</strong> Danger Period has officially begun this week <a class=""twitter-timeline-link"" data-expanded-url=""https://northcoastvoices.blogspot.com/2019/08/bushfire-danger-period-has-begun-on-nsw.html"" dir=""ltr"" href=""https://t.co/spe6mJanYM"" rel=""nofollow noopener"" target=""_blank"" title=""https://northcoastvoices.blogspot.com/2019/08/bushfire-danger-period-has-begun-on-nsw.html""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">northcoastvoices.blogspot.com/2019/08/bushfi</span><span class=""invisible"">re-danger-period-has-begun-on-nsw.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""271170140"" dir=""ltr"" href=""/Lynette_Eggins""><s>@</s><b>Lynette_Eggins</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""96909255"" dir=""ltr"" href=""/Captainturtle""><s>@</s><b>Captainturtle</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""269926884"" dir=""ltr"" href=""/tincanoe""><s>@</s><b>tincanoe</b></a></p>",['https://northcoastvoices.blogspot.com/2019/08/bushfire-danger-period-has-begun-on-nsw.html'],[],False,[],,3,3,0,False,False,,[]
9,simonboyle,Simon Boyle,21110206,1163140317438193670,/simonboyle/status/1163140317438193670,2019-08-18 17:27:16,1566149236,"And I don't live in the bush, so bushfires aren't an issue here. Plus it rains daily, so they are an unlikely issue to be concerned about.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">And I don't live in the bush, so <strong>bushfires</strong> aren't an issue here. Plus it rains daily, so they are an unlikely issue to be concerned about.</p>",[],[],False,[],,0,0,1,True,True,1162968417936138241,"[{'screen_name': '206Uber', 'user_id': '701158850682966016'}, {'screen_name': 'ProletariatRis1', 'user_id': '1079134056975986688'}]"
