,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,KevinBerge,🖤 Kevin Berge 🖤,309383244,1285001471352811520,/KevinBerge/status/1285001471352811520,2020-07-19 23:59:59,1595203199,I expect the #EyeForAnEye match to be really good as a pure NO DQ match between Rey Mysterio and Seth Rollins. The finish is going to be a disaster though. #ExtremeRules,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I expect the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/EyeForAnEye?src=hash""><s>#</s><b>EyeForAnEye</b></a> match to be really good as a pure NO DQ match between Rey Mysterio and Seth Rollins. The finish is going to be a <strong>disaster</strong> though. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ExtremeRules?src=hash""><s>#</s><b>ExtremeRules</b></a></p>",[],"['EyeForAnEye', 'ExtremeRules']",False,[],,3,0,1,True,False,,[]
1,slowestdive,"little baby sauce, pat",2538317437,1285001403300282374,/slowestdive/status/1285001403300282374,2020-07-19 23:59:43,1595203183,"omg i can hear a cat yowling outside,,, at 1am, with three dogs in the other room and the windows cracked open bc summer,,,,, this can only spell Disaster","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">omg i can hear a cat yowling outside,,, at 1am, with three dogs in the other room and the windows cracked open bc summer,,,,, this can only spell <strong>Disaster</strong></p>",[],[],False,[],,0,0,1,True,False,,[]
2,Brrrrraaaaiiins,"TeeJ, Son of Tormund Giantsbane 🧟‍♂️",72433714,1285001383704440832,/Brrrrraaaaiiins/status/1285001383704440832,2020-07-19 23:59:38,1595203178,When you combine poor mental health with that celebrity grifting it is a recipe for disaster lol,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">When you combine poor mental health with that celebrity grifting it is a recipe for <strong>disaster</strong> lol</p>",[],[],False,[],,1,0,0,False,True,1284981625760219136,"[{'screen_name': 'kellbradenallen', 'user_id': '1206174645986050048'}]"
3,dd9000,ddouglas,28608767,1285001380910882816,/dd9000/status/1285001380910882816,2020-07-19 23:59:38,1595203178,"Dear @AmyMcGrathKY Term limits are a Conservative idea designed to turn power over to lobbyists & organizations like ALEC. McConnell is a disaster but, for example, Dingell and Frank were superb until their last days. Experience matters.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Dear <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2783231383"" dir=""ltr"" href=""/AmyMcGrathKY""><s>@</s><b>AmyMcGrathKY</b></a> Term limits are a Conservative idea designed to turn power over to lobbyists &amp; organizations like ALEC. McConnell is a <strong>disaster</strong> but, for example, Dingell and Frank were superb until their last days. Experience matters.</p>",[],[],False,[],,1,0,1,True,False,,[]
4,ginloverx,𓂉︎ 𓀡︎ ‎𓃠︎ 𓀿︎ 𓂀︎,1255819814733570049,1285001358786125825,/ginloverx/status/1285001358786125825,2020-07-19 23:59:32,1595203172,"im:
☐ straight 
☒ bisexual
☐ gay

AND 
☒ a disaster","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">im:
☐ straight 
☒ bisexual
☐ gay

AND 
☒ a <strong>disaster</strong></p>",[],[],False,[],,0,0,0,False,False,,[]
5,centerrightsin1,centerrightsincetheleftleft,1281043196877905922,1285001289148096512,/centerrightsin1/status/1285001289148096512,2020-07-19 23:59:16,1595203156,Lol the WHO has been an absolute disaster on this from the start.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Lol the WHO has been an absolute <strong>disaster</strong> on this from the start.</p>",[],[],False,[],,0,0,2,True,True,1284640989865545733,"[{'screen_name': 'madcatgrin', 'user_id': '63873992'}, {'screen_name': 'MattGlantz', 'user_id': '27514116'}, {'screen_name': 'jaketapper', 'user_id': '14529929'}]"
6,BusinessDeans,Aus Business Deans,3069286819,1285001256004579328,/BusinessDeans/status/1285001256004579328,2020-07-19 23:59:08,1595203148,Many Pacific Rim universities that were best prepared for campus closures already had emergency disaster response procedures in place https://www.universityworldnews.com/post.php?story=20200715113545432 … #HigherEducation #riskmanagement #COVID19 #universities @uniworldnews,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Many Pacific Rim universities that were best prepared for campus closures already had emergency <strong>disaster</strong> response procedures in place <a class=""twitter-timeline-link"" data-expanded-url=""https://www.universityworldnews.com/post.php?story=20200715113545432"" dir=""ltr"" href=""https://t.co/l9Xa9uUOeu"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.universityworldnews.com/post.php?story=20200715113545432""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">universityworldnews.com/post.php?story</span><span class=""invisible"">=20200715113545432</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HigherEducation?src=hash""><s>#</s><b>HigherEducation</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/riskmanagement?src=hash""><s>#</s><b>riskmanagement</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/COVID19?src=hash""><s>#</s><b>COVID19</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/universities?src=hash""><s>#</s><b>universities</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""95071372"" dir=""ltr"" href=""/uniworldnews""><s>@</s><b>uniworldnews</b></a></p>",['https://www.universityworldnews.com/post.php?story=20200715113545432'],"['HigherEducation', 'riskmanagement', 'COVID19', 'universities']",False,[],,0,0,0,False,False,,[]
7,DesmondLast2,Desmond Last,1270845016877891584,1285001223217659905,/DesmondLast2/status/1285001223217659905,2020-07-19 23:59:00,1595203140,@ScottMorrisonMP Pumping the economy with our money is hardly rocket science. What is a science is disaster preparation. Where is the public disaster plan for evacuating Coivd 19 Lockdown residents from an approaching bushfire? pic.twitter.com/QzSz0FJ88c,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""34116377"" dir=""ltr"" href=""/ScottMorrisonMP""><s>@</s><b>ScottMorrisonMP</b></a> Pumping the economy with our money is hardly rocket science. What is a science is <strong>disaster</strong> preparation. Where is the public <strong>disaster</strong> plan for evacuating Coivd 19 Lockdown residents from an approaching bushfire? <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/QzSz0FJ88c"">pic.twitter.com/QzSz0FJ88c</a></p>",[],[],True,['https://pbs.twimg.com/media/EdU9xopUYAAMMdQ.jpg'],,0,0,0,False,False,,[]
8,jw_with_b,Bっち💎,809407430576590848,1285001219258236929,/jw_with_b/status/1285001219258236929,2020-07-19 23:58:59,1595203139,"“Congratulations on being followed by the National Disaster Warning Center”
HAPPY 29th BIRTHDAY!!!!
#Taytawan29thbirthdaypic.twitter.com/MNK8pgUJEH","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">“Congratulations on being followed by the National <strong>Disaster</strong> Warning Center”
HAPPY 29th BIRTHDAY!!!!
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Taytawan29thbirthday?src=hash""><s>#</s><b>Taytawan29thbirthday</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/MNK8pgUJEH"">pic.twitter.com/MNK8pgUJEH</a></p>",[],['Taytawan29thbirthdaypic'],True,"['https://pbs.twimg.com/media/EdU9yjWUcAErFrf.jpg', 'https://pbs.twimg.com/media/EdU9yjcU0AASM5P.jpg']",,2,0,0,False,False,,[]
9,maps_pixel,PixelMaps ⛰,1197519494677057536,1285001175725740032,/maps_pixel/status/1285001175725740032,2020-07-19 23:58:49,1595203129,"Welcome to Djstaheim (Population 68,552).
Famous for their vehicles, the Taalboc sect are continuously described as exquisite.
A informal greeting is Resozu, meaning avoid disaster in seas. pic.twitter.com/OAUVYJOGXb","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Welcome to Djstaheim (Population 68,552).
Famous for their vehicles, the Taalboc sect are continuously described as exquisite.
A informal greeting is Resozu, meaning avoid <strong>disaster</strong> in seas. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/OAUVYJOGXb"">pic.twitter.com/OAUVYJOGXb</a></p>",[],[],True,['https://pbs.twimg.com/media/EdU9wmhXYAEV5aC.png'],,0,0,0,False,False,,[]
