,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,yujii136,松永　勇士,3068813443,964650355152662528,/yujii136/status/964650355152662528,2018-02-16 23:59:01,1518825541,猫が怖がりつつ全力で台風を楽しんでいる動画　- the cat enjoys typhoon - |terratopi| http://terratopi.roflclub.asia/article/32478/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">猫が怖がりつつ全力で台風を楽しんでいる動画　- the cat enjoys <strong>typhoon</strong> - |terratopi| <a class=""twitter-timeline-link"" data-expanded-url=""http://terratopi.roflclub.asia/article/32478/"" dir=""ltr"" href=""https://t.co/stKf67xZ5s"" rel=""nofollow noopener"" target=""_blank"" title=""http://terratopi.roflclub.asia/article/32478/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">terratopi.roflclub.asia/article/32478/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://terratopi.roflclub.asia/article/32478/'],[],False,[],,0,0,0,False,False,,[]
1,InstBirdPop,Bird Populations,2835276254,964650098176086016,/InstBirdPop/status/964650098176086016,2018-02-16 23:58:00,1518825480,The Institute was well represented at The Wildlife Society Western Section meeting in Santa Rosa last week. Below IBP Staff Biologist Lauren Helton discusses her poster about the effects of Typhoon Soudelor on the birds of the Pacific island of Saipan with a fellow researcher. pic.twitter.com/0SusFmemv8,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Institute was well represented at The Wildlife Society Western Section meeting in Santa Rosa last week. Below IBP Staff Biologist Lauren Helton discusses her poster about the effects of <strong>Typhoon</strong> Soudelor on the birds of the Pacific island of Saipan with a fellow researcher. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/0SusFmemv8"">pic.twitter.com/0SusFmemv8</a></p>",[],[],True,['https://pbs.twimg.com/media/DWMgDe3U0AAVuGy.jpg'],,3,0,0,False,False,,[]
2,imprezafujiwara,IMPRESA FUJIWARA(完全体),2221172438,964648436367728646,/imprezafujiwara/status/964648436367728646,2018-02-16 23:51:24,1518825084,"ベスタのtyphoon購入、使用で分かった事は、やっぱりVirtual DJ良いジャマイカという事。
DJ Introは、、、まあそりゃイントロだけども、、、","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">ベスタの<strong>typhoon</strong>購入、使用で分かった事は、やっぱりVirtual DJ良いジャマイカという事。
DJ Introは、、、まあそりゃイントロだけども、、、</p>",[],[],False,[],,1,0,0,False,False,,[]
3,typhoon_aegi,台風喘ぎ声bot,2735296722,964647208174870528,/typhoon_aegi/status/964647208174870528,2018-02-16 23:46:31,1518824791,私は…いつでもきれいだよ♥︎,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">私は…いつでもきれいだよ♥︎</p>",[],[],False,[],,0,0,0,False,False,,[]
4,rooster_irl,Rooster Gaijin,301884812,964647055804133377,/rooster_irl/status/964647055804133377,2018-02-16 23:45:55,1518824755,"BUT BUT BUT, with typhoon, you get to add to it by saying ... BYE FELICIA!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">BUT BUT BUT, with <strong>typhoon</strong>, you get to add to it by saying ... BYE FELICIA!</p>",[],[],False,[],,0,0,0,False,True,964623919167754248,"[{'screen_name': 'atanae', 'user_id': '28597897'}]"
5,Give2Asia,Give2Asia,15070427,964647045746196480,/Give2Asia/status/964647045746196480,2018-02-16 23:45:52,1518824752,"Next week we're #ontheground in #Asia meeting w #disasterpreparedness partners. Watch this video on GDFI's long-term relief programming in the Philippines after Typhoon Yolanda, and #staytuned for a daily spotlight on our preparedness projects!http://bit.ly/2Co5yLP ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Next week we're <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ontheground?src=hash""><s>#</s><b>ontheground</b></a> in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Asia?src=hash""><s>#</s><b>Asia</b></a> meeting w <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/disasterpreparedness?src=hash""><s>#</s><b>disasterpreparedness</b></a> partners. Watch this video on GDFI's long-term relief programming in the Philippines after <strong>Typhoon</strong> Yolanda, and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/staytuned?src=hash""><s>#</s><b>staytuned</b></a> for a daily spotlight on our preparedness projects!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://bit.ly/2Co5yLP"" dir=""ltr"" href=""https://t.co/IqxrA4dQ8h"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2Co5yLP""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2Co5yLP</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://bit.ly/2Co5yLP'],"['ontheground', 'Asia', 'disasterpreparedness', 'staytuned']",False,[],,1,0,0,False,False,,[]
6,musicairport,MusicAirport.com,99823263,964645612946944000,/musicairport/status/964645612946944000,2018-02-16 23:40:11,1518824411,"Psst. Belgium. Buy these Typhoon fighter jets from us, will you? [By Gareth Corfield 16 Feb 2018 at 13:39] - http://bit.ly/2EwWCWB  #aviation #airline #airport","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Psst. Belgium. Buy these <strong>Typhoon</strong> fighter jets from us, will you? [By Gareth Corfield 16 Feb 2018 at 13:39] - <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2EwWCWB"" dir=""ltr"" href=""https://t.co/JqDNtVqihQ"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2EwWCWB""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2EwWCWB</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/aviation?src=hash""><s>#</s><b>aviation</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/airline?src=hash""><s>#</s><b>airline</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/airport?src=hash""><s>#</s><b>airport</b></a></p>",['http://bit.ly/2EwWCWB'],"['aviation', 'airline', 'airport']",False,[],,0,0,0,False,False,,[]
7,panzaokinawa,panzaokinawa,826269450177359872,964645170410012673,/panzaokinawa/status/964645170410012673,2018-02-16 23:38:25,1518824305,"Close until further notice due to inclement weather (high winds, heavy rain, thunder lightning, typhoon).  Check our website for further operation status.  

#panzaokinawa #fun #japan #okinawa #onnason #sheraton #zipline #sea #ocean #beautiful #amazing #headrush","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Close until further notice due to inclement weather (high winds, heavy rain, thunder lightning, <strong>typhoon</strong>).  Check our website for further operation status.  

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/panzaokinawa?src=hash""><s>#</s><b>panzaokinawa</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/fun?src=hash""><s>#</s><b>fun</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/japan?src=hash""><s>#</s><b>japan</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/okinawa?src=hash""><s>#</s><b>okinawa</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/onnason?src=hash""><s>#</s><b>onnason</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/sheraton?src=hash""><s>#</s><b>sheraton</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/zipline?src=hash""><s>#</s><b>zipline</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/sea?src=hash""><s>#</s><b>sea</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ocean?src=hash""><s>#</s><b>ocean</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/beautiful?src=hash""><s>#</s><b>beautiful</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazing?src=hash""><s>#</s><b>amazing</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/headrush?src=hash""><s>#</s><b>headrush</b></a></p>",[],"['panzaokinawa', 'fun', 'japan', 'okinawa', 'onnason', 'sheraton', 'zipline', 'sea', 'ocean', 'beautiful', 'amazing', 'headrush']",False,[],,0,0,0,False,False,,[]
8,club_typhoon,ナガ@映画垢🐇,3355534953,964644570947452928,/club_typhoon/status/964644570947452928,2018-02-16 23:36:02,1518824162,グレイテストショーマン2回目はIMAXで見よう。うむ。今はとある映画を自宅鑑賞中( ^ω^ ),"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">グレイテストショーマン2回目はIMAXで見よう。うむ。今はとある映画を自宅鑑賞中( ^ω^ )</p>",[],[],False,[],,0,0,0,False,False,,[]
9,typhoon_aegi,台風喘ぎ声bot,2735296722,964643073878671360,/typhoon_aegi/status/964643073878671360,2018-02-16 23:30:05,1518823805,筆下ろし…手伝って♥︎,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">筆下ろし…手伝って♥︎</p>",[],[],False,[],,0,0,0,False,False,,[]
